ApplicationType,BusinessType,City,StateCode,ZipCode,Created,Submitted,InReview,Billed,Paid,UnderInspection,Ready,Issued,Printed,DaysInCreatedStatus,DaysInReview,DaysInBilled,DaysInPaid,DaysInUnderInspection,DaysInReady,DaysInIssued,TotalDaysCreationToPrint_Original,PostalCode,TotalDaysCreationToIssuance_Recalc,TotalDaysCreationToIssuance_Ints,Human_Baseline,PostalCodeStratify,Created_DayOfYear,Created_Month,Created_DayOfMonth,Created_DayOfWeek,Created_Year
Certificate Of Use,Office,Miami,FL,33131,2017-05-31,,2017-05-31,2017-05-31,2017-07-01,2017-07-07,2017-07-07,2017-07-07,2017-07-25,0,0,31,6,0,0,18,55,33131,37 days 00:00:00.000000000,37,62,33131,151,5,31,2,2017
Certificate Of Use,Office,Miami,FL,33145,2017-05-31,,2017-05-31,2017-05-31,2017-06-01,2017-06-08,2017-06-19,2017-06-29,2017-07-25,0,0,1,7,11,10,26,55,33145,29 days 00:00:00.000000000,29,62,33145,151,5,31,2,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33137,2017-05-31,,2017-05-31,2017-05-31,2017-06-02,2017-06-06,2017-06-23,2017-08-14,2017-08-24,0,0,2,4,17,52,10,85,33137,75 days 00:00:00.000000000,75,105,33137,151,5,31,2,2017
Certificate Of Use,General Commercial,Miami,FL,33138,2017-05-31,,2017-05-31,2017-05-31,2017-06-22,2017-06-30,2017-07-18,2017-07-26,2017-08-10,0,0,22,8,18,8,15,71,33138,56 days 00:00:00.000000000,56,62,33138,151,5,31,2,2017
Certificate Of Use,General Commercial,Miami,FL,33135,2017-05-31,2017-05-31,2017-06-05,2017-06-05,2017-06-06,2017-07-17,2017-07-17,2017-07-17,2017-07-25,5,0,1,41,0,0,8,55,33135,47 days 00:00:00.000000000,47,62,33135,151,5,31,2,2017
Certificate Of Use,General Commercial,Miami,FL,33145,2017-05-31,,2017-05-31,2017-05-31,2017-06-01,2017-06-08,2017-07-12,2017-07-21,2017-07-25,0,0,1,7,34,9,4,55,33145,51 days 00:00:00.000000000,51,62,33145,151,5,31,2,2017
Certificate Of Use,Manufacturing And Processing,Miami,FL,33138,2017-05-31,,2017-05-31,2017-05-31,2017-06-03,2017-06-16,2017-06-30,2017-06-30,2017-07-25,0,0,3,13,14,0,25,55,33138,30 days 00:00:00.000000000,30,62,33138,151,5,31,2,2017
Certificate Of Use,General Commercial,Miami,FL,33145,2017-05-31,,2017-05-31,2017-05-31,2017-06-01,2017-06-08,2017-07-12,2017-07-21,2017-07-25,0,0,1,7,34,9,4,55,33145,51 days 00:00:00.000000000,51,62,33145,151,5,31,2,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33150,2017-05-31,2017-05-31,2017-06-01,2017-06-01,2017-06-02,2017-07-06,2017-07-06,2017-07-06,2017-07-25,1,0,1,34,0,0,19,55,33150,36 days 00:00:00.000000000,36,105,33150,151,5,31,2,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33137,2017-05-31,,2017-05-31,2017-05-31,2017-06-12,2017-06-19,2017-06-22,2017-06-22,2017-07-25,0,0,12,7,3,0,33,55,33137,22 days 00:00:00.000000000,22,105,33137,151,5,31,2,2017
Certificate Of Use,Office,Miami,FL,33145,2017-05-31,2017-05-31,2017-05-31,2017-05-31,2017-06-01,2017-06-13,2017-06-14,2017-06-28,2017-07-25,0,0,1,12,1,14,27,55,33145,28 days 00:00:00.000000000,28,62,33145,151,5,31,2,2017
Certificate Of Use,General Commercial,Miami,FL,33131,2017-06-01,,2017-06-01,2017-06-01,2017-12-08,2017-06-22,2017-07-06,2017-07-07,2017-07-25,0,0,190,-169,14,1,18,54,33131,36 days 00:00:00.000000000,36,62,33131,152,6,1,3,2017
Certificate Of Use,Office,Miami,FL,33131,2017-06-01,,2017-06-01,2017-06-01,2017-06-06,2017-06-13,2017-06-13,2017-06-13,2017-06-19,0,0,5,7,0,0,6,18,33131,12 days 00:00:00.000000000,12,62,33131,152,6,1,3,2017
Certificate Of Use,Office,Miami,FL,33125,2017-06-07,2017-06-07,2017-06-07,2017-06-07,2017-06-08,2017-06-19,2017-06-19,2017-07-10,2017-07-25,0,0,1,11,0,21,15,48,33125,33 days 00:00:00.000000000,33,62,33125,158,6,7,2,2017
Certificate Of Use,Storage / Distribution Facility,Miami,FL,33127,2017-06-01,,2017-06-01,2017-06-01,2017-06-09,2017-07-19,2017-07-19,2017-09-20,2017-10-06,0,0,8,40,0,63,16,127,33127,111 days 00:00:00.000000000,111,62,33127,152,6,1,3,2017
Certificate Of Use,Office,Miami,FL,33127,2017-06-01,2017-06-01,2017-06-01,2017-06-01,2017-06-06,2017-06-14,2017-06-28,2017-06-28,2017-07-25,0,0,5,8,14,0,27,54,33127,27 days 00:00:00.000000000,27,62,33127,152,6,1,3,2017
Certificate Of Use,Office,Miami,FL,33138,2017-06-01,2017-06-01,2017-06-02,2017-06-02,2017-06-06,2017-06-15,2017-07-07,2017-07-18,2017-07-25,1,0,4,9,22,11,7,54,33138,47 days 00:00:00.000000000,47,62,33138,152,6,1,3,2017
Certificate Of Use,General Commercial,Miami,FL,33131,2017-06-01,2017-06-01,2017-06-02,2017-06-02,2017-06-03,2017-06-06,2017-06-14,2017-06-16,2017-06-19,1,0,1,3,8,2,3,18,33131,15 days 00:00:00.000000000,15,62,33131,152,6,1,3,2017
Certificate Of Use,Office,Miami,FL,33145,2017-06-01,2017-06-01,2017-06-01,2017-06-01,2017-06-02,2017-06-05,2017-06-07,2017-06-30,2017-07-25,0,0,1,3,2,23,25,54,33145,29 days 00:00:00.000000000,29,62,33145,152,6,1,3,2017
Certificate Of Use,Office,Miami,FL,33145,2017-06-01,2017-06-01,2017-06-01,2017-06-01,2017-06-05,2017-06-07,2017-06-30,2017-06-30,2017-07-25,0,0,4,2,23,0,25,54,33145,29 days 00:00:00.000000000,29,62,33145,152,6,1,3,2017
Certificate Of Use,Office,Miami,FL,33145,2017-06-01,2017-06-01,2017-06-01,2017-06-01,2017-06-02,2017-06-28,2017-07-05,2017-07-17,2017-07-25,0,0,1,26,7,12,8,54,33145,46 days 00:00:00.000000000,46,62,33145,152,6,1,3,2017
Certificate Of Use,Office,Miami,FL,33145,2017-06-02,2017-06-02,2017-06-02,2017-06-02,2017-06-05,2017-06-14,2017-06-20,2017-06-23,2017-07-25,0,0,3,9,6,3,32,53,33145,21 days 00:00:00.000000000,21,62,33145,153,6,2,4,2017
Accessory Of Use,Home Office,Miami,FL,33136,2017-06-06,2017-06-06,2017-06-09,2017-06-09,2017-06-10,2017-06-16,2017-06-16,2017-06-16,2017-06-19,3,0,1,6,0,0,3,13,33136,10 days 00:00:00.000000000,10,28,33136,157,6,6,1,2017
Certificate Of Use,Office,Miami,FL,33131,2017-06-02,,2017-06-02,2017-06-02,2017-06-03,2017-06-06,2017-07-19,2017-07-31,2017-08-10,0,0,1,3,43,12,10,69,33131,59 days 00:00:00.000000000,59,62,33131,153,6,2,4,2017
Certificate Of Use,General Commercial,Miami,FL,33142,2017-06-02,,2017-06-02,2017-06-02,2017-06-03,2017-06-30,2017-06-30,2017-08-21,2017-08-24,0,0,1,27,0,52,3,83,33142,80 days 00:00:00.000000000,80,62,33142,153,6,2,4,2017
Certificate Of Use,General Commercial,Miami,FL,33137,2017-06-02,2017-06-02,2017-06-07,2017-06-07,2017-06-08,2017-06-23,2017-06-27,2018-05-14,2018-05-14,5,0,1,15,4,321,0,346,33137,346 days 00:00:00.000000000,346,62,33137,153,6,2,4,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33125,2017-06-09,,2017-06-09,2017-06-09,2017-06-17,2017-06-22,2017-06-30,2017-08-02,2017-08-10,0,0,8,5,8,33,8,62,33125,54 days 00:00:00.000000000,54,105,33125,160,6,9,4,2017
Certificate Of Use,Unknown,Miami,FL,33127,2017-06-02,2017-06-02,2017-06-08,2017-06-08,2017-06-09,2017-07-20,2017-07-24,2017-07-24,2017-07-25,6,0,1,41,4,0,1,53,33127,52 days 00:00:00.000000000,52,413,33127,153,6,2,4,2017
Accessory Of Use,Home Office,Miami,FL,33138,2017-06-02,2017-06-02,2017-06-02,2017-06-02,2017-06-03,2017-06-14,2017-06-14,2017-06-15,2017-06-19,0,0,1,11,0,1,4,17,33138,13 days 00:00:00.000000000,13,28,33138,153,6,2,4,2017
Certificate Of Use,Office,Miami,FL,33131,2017-06-02,,2017-06-02,2017-06-02,2017-06-03,2017-06-09,2017-06-16,2017-06-19,2017-07-25,0,0,1,6,7,3,36,53,33131,17 days 00:00:00.000000000,17,62,33131,153,6,2,4,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33135,2017-06-02,2017-06-02,2017-06-05,2017-06-05,2017-06-06,2017-11-30,2017-12-04,2017-12-04,,3,0,1,177,4,0,,,33135,185 days 00:00:00.000000000,185,105,33135,153,6,2,4,2017
Certificate Of Use,General Commercial,Miami,FL,33144,2017-06-02,2017-06-02,2017-06-05,2017-06-05,2017-06-06,2017-07-17,2017-07-17,2017-07-17,2017-07-25,3,0,1,41,0,0,8,53,33144,45 days 00:00:00.000000000,45,62,33144,153,6,2,4,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33127,2017-06-05,2017-06-05,2017-06-05,2017-06-05,2017-06-06,2017-07-14,2017-07-14,2017-07-14,2017-07-25,0,0,1,38,0,0,11,50,33127,39 days 00:00:00.000000000,39,105,33127,156,6,5,0,2017
Certificate Of Use,Office,Miami,FL,33130,2017-06-05,,2017-06-05,2017-06-05,2017-06-15,2017-06-19,2017-06-20,2017-06-20,2017-07-25,0,0,10,4,1,0,35,50,33130,15 days 00:00:00.000000000,15,62,33130,156,6,5,0,2017
Certificate Of Use,Office,Miami,FL,33131,2017-06-05,,2017-06-05,2017-06-05,2017-06-06,2017-06-07,2017-06-09,2017-06-14,2017-06-19,0,0,1,1,2,5,5,14,33131,9 days 00:00:00.000000000,9,62,33131,156,6,5,0,2017
Certificate Of Use,Office,Miami,FL,33145,2017-06-05,,2017-06-05,2017-06-05,2017-06-06,2017-06-08,2017-06-09,2017-06-09,2017-06-12,0,0,1,2,1,0,3,7,33145,4 days 00:00:00.000000000,4,62,33145,156,6,5,0,2017
Certificate Of Use,Office,Miami,FL,33125,2017-06-09,,2017-06-09,2017-06-09,2017-06-10,2017-06-21,2017-06-21,2017-06-21,2017-07-25,0,0,1,11,0,0,34,46,33125,12 days 00:00:00.000000000,12,62,33125,160,6,9,4,2017
Certificate Of Use,Unknown,Miami,FL,33132,2017-06-05,,2017-06-05,2017-06-05,2017-06-06,2017-06-08,2017-06-16,2017-06-20,2017-07-25,0,0,1,2,8,4,35,50,33132,15 days 00:00:00.000000000,15,413,33132,156,6,5,0,2017
Certificate Of Use,Unknown,Miami,FL,33128,2017-06-05,,2017-06-05,2017-06-05,2017-06-06,2017-06-21,2017-06-21,2017-06-28,2017-07-25,0,0,1,15,0,7,27,50,33128,23 days 00:00:00.000000000,23,413,33128,156,6,5,0,2017
Certificate Of Use,Office,Miami,FL,33129,2017-06-05,2017-06-05,2017-06-05,2017-06-05,2017-06-13,2017-07-26,2017-12-02,2017-12-04,2017-12-07,0,0,8,43,129,2,3,185,33129,182 days 00:00:00.000000000,182,62,33129,156,6,5,0,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33130,2017-06-05,,2017-06-05,2017-06-05,2017-06-14,2017-06-19,2017-07-05,2017-08-23,2017-08-24,0,0,9,5,16,49,1,80,33130,79 days 00:00:00.000000000,79,105,33130,156,6,5,0,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33135,2017-06-05,2017-06-05,2017-06-05,2017-06-05,2017-06-06,2017-07-26,2017-07-26,2017-07-26,2017-08-10,0,0,1,50,0,0,15,66,33135,51 days 00:00:00.000000000,51,105,33135,156,6,5,0,2017
Certificate Of Use,Auto-Related Commercial Establishment,Miami,FL,33142,2017-06-05,,2017-06-05,2017-06-05,2017-06-06,2017-06-12,2017-06-19,2017-06-20,2017-07-25,0,0,1,6,7,1,35,50,33142,15 days 00:00:00.000000000,15,62,33142,156,6,5,0,2017
Certificate Of Use,General Commercial,Miami,FL,33125,2017-06-05,2017-06-05,2017-06-06,2017-06-06,2017-06-07,2017-06-08,2017-06-12,2017-06-12,2017-06-19,1,0,1,1,4,0,7,14,33125,7 days 00:00:00.000000000,7,62,33125,156,6,5,0,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33133,2017-06-05,,2017-06-05,2017-06-05,2017-06-13,2017-06-14,2017-07-19,2017-07-19,2017-07-25,0,0,8,1,35,0,6,50,33133,44 days 00:00:00.000000000,44,105,33133,156,6,5,0,2017
Certificate Of Use,Office,Miami,FL,33145,2017-06-06,2017-06-06,2017-06-06,2017-06-06,2017-07-19,2017-07-20,2017-07-20,2017-07-21,2017-07-25,0,0,43,1,0,1,4,49,33145,45 days 00:00:00.000000000,45,62,33145,157,6,6,1,2017
Certificate Of Use,Manufacturing And Processing,Miami,FL,33142,2017-06-06,,2017-06-06,2017-06-06,2017-06-07,2017-06-20,2017-06-22,2017-06-28,2017-07-25,0,0,1,13,2,6,27,49,33142,22 days 00:00:00.000000000,22,62,33142,157,6,6,1,2017
Certificate Of Use,General Commercial,Miami,FL,33126,2017-06-06,,2017-06-06,2017-06-06,2017-06-07,2017-06-12,2017-06-19,2017-06-19,2017-07-25,0,0,1,5,7,0,36,49,33126,13 days 00:00:00.000000000,13,62,33126,157,6,6,1,2017
Accessory Of Use,Home Office,Miami,FL,33137,2017-06-06,2017-06-06,2017-06-06,2017-06-06,2017-06-07,2017-07-05,2017-07-05,2017-10-23,2017-11-03,0,0,1,28,0,110,11,150,33137,139 days 00:00:00.000000000,139,28,33137,157,6,6,1,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33145,2017-06-06,,2017-06-06,2017-06-06,2017-06-07,2017-06-15,2017-06-22,2017-06-26,2017-07-25,0,0,1,8,7,4,29,49,33145,20 days 00:00:00.000000000,20,105,33145,157,6,6,1,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33145,2017-06-06,,2017-10-16,2017-10-16,2017-10-17,2017-10-18,2017-10-20,2017-10-20,2017-11-03,132,0,1,1,2,0,14,150,33145,136 days 00:00:00.000000000,136,105,33145,157,6,6,1,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33135,2017-06-06,2017-06-06,2017-06-06,2017-06-06,2017-06-08,2017-06-26,2017-08-03,2018-02-22,2018-02-23,0,0,2,18,38,203,1,262,33135,261 days 00:00:00.000000000,261,105,33135,157,6,6,1,2017
Certificate Of Use,Office,Miami,FL,33125,2017-06-06,2017-06-06,2017-06-07,2017-06-07,2017-06-08,2017-06-09,2017-06-09,2017-06-09,2017-06-12,1,0,1,1,0,0,3,6,33125,3 days 00:00:00.000000000,3,62,33125,157,6,6,1,2017
Certificate Of Use,Office,Miami,FL,33129,2017-06-07,2017-06-07,2017-06-07,2017-06-07,2017-06-08,2017-06-19,2018-11-14,2019-01-11,2019-01-18,0,0,1,11,513,58,7,590,33129,583 days 00:00:00.000000000,583,62,33129,158,6,7,2,2017
Certificate Of Use,Multi Family Housing,Miami,FL,33137,2017-06-07,2017-06-07,2017-06-07,2017-06-07,2017-06-08,2017-06-14,2017-06-14,2017-06-14,2017-06-19,0,0,1,6,0,0,5,12,33137,7 days 00:00:00.000000000,7,156,33137,158,6,7,2,2017
Certificate Of Use,Manufacturing And Processing,Miami,FL,33142,2017-06-07,,2017-06-07,2017-06-07,2017-06-28,2017-07-03,2017-07-03,2017-07-03,2017-07-25,0,0,21,5,0,0,22,48,33142,26 days 00:00:00.000000000,26,62,33142,158,6,7,2,2017
Certificate Of Use,General Commercial,Miami,FL,33144,2017-06-07,,2017-06-07,2017-06-07,2017-06-08,2017-06-13,2017-06-15,2017-06-26,2017-07-25,0,0,1,5,2,11,29,48,33144,19 days 00:00:00.000000000,19,62,33144,158,6,7,2,2017
Accessory Of Use,Home Office,Miami,FL,33126,2017-06-07,2017-06-07,2017-06-07,2017-06-07,2017-06-08,2017-06-14,2017-06-21,2017-06-28,2017-07-25,0,0,1,6,7,7,27,48,33126,21 days 00:00:00.000000000,21,28,33126,158,6,7,2,2017
Certificate Of Use,Office,Miami,FL,33126,2017-06-07,,2017-06-07,2017-06-07,2017-06-08,2017-06-09,2017-06-15,2017-06-15,2017-06-19,0,0,1,1,6,0,4,12,33126,8 days 00:00:00.000000000,8,62,33126,158,6,7,2,2017
Certificate Of Use,General Commercial,Miami,FL,33135,2017-06-07,,2017-06-07,2017-06-07,2017-07-03,2017-07-03,2017-07-05,2017-07-05,2017-07-25,0,0,26,0,2,0,20,48,33135,28 days 00:00:00.000000000,28,62,33135,158,6,7,2,2017
Certificate Of Use,Office,Miami,FL,33150,2017-06-07,,2017-06-07,2017-06-07,2017-06-08,2017-07-06,2017-07-06,2017-07-06,2017-07-25,0,0,1,28,0,0,19,48,33150,29 days 00:00:00.000000000,29,62,33150,158,6,7,2,2017
Certificate Of Use,Office,Miami,FL,33129,2017-06-07,2017-06-07,2017-06-07,2017-06-07,2017-06-13,2017-07-26,2017-12-02,2017-12-04,2017-12-07,0,0,6,43,129,2,3,183,33129,180 days 00:00:00.000000000,180,62,33129,158,6,7,2,2017
Certificate Of Use,Office,Miami,FL,33137,2017-06-07,2017-06-07,2017-06-09,2017-06-09,2017-06-10,2017-06-21,2017-06-21,2017-06-21,2017-07-25,2,0,1,11,0,0,34,48,33137,14 days 00:00:00.000000000,14,62,33137,158,6,7,2,2017
Accessory Of Use,Home Office,Miami,FL,33137,2017-06-09,2017-06-09,2017-06-09,2017-06-09,2017-06-10,2017-06-12,2017-06-12,2017-06-12,2017-06-19,0,0,1,2,0,0,7,10,33137,3 days 00:00:00.000000000,3,28,33137,160,6,9,4,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33126,2017-06-07,,2017-06-07,2017-06-07,2017-06-08,2017-06-12,2017-06-13,2017-10-10,2017-10-20,0,0,1,4,1,119,10,135,33126,125 days 00:00:00.000000000,125,105,33126,158,6,7,2,2017
Certificate Of Use,General Commercial,Miami,FL,33125,2017-06-08,,2017-06-08,2017-06-08,2017-06-09,2017-06-22,2017-06-26,2017-06-26,2017-07-25,0,0,1,13,4,0,29,47,33125,18 days 00:00:00.000000000,18,62,33125,159,6,8,3,2017
Certificate Of Use,Unknown,Miami,FL,33127,2017-06-08,,2017-06-08,2017-06-08,2017-06-09,2018-10-04,2018-10-05,2018-10-12,2018-10-12,0,0,1,482,1,7,0,491,33127,491 days 00:00:00.000000000,491,413,33127,159,6,8,3,2017
Certificate Of Use,General Commercial,Miami,FL,33135,2017-06-08,,2017-06-08,2017-06-08,2017-06-09,2017-06-14,2017-06-29,2017-06-29,2017-07-25,0,0,1,5,15,0,26,47,33135,21 days 00:00:00.000000000,21,62,33135,159,6,8,3,2017
Certificate Of Use,General Commercial,Miami,FL,33132,2017-06-08,,2017-06-08,2017-06-08,2017-06-09,2017-06-09,2017-06-15,2017-06-22,2017-07-25,0,0,1,0,6,7,33,47,33132,14 days 00:00:00.000000000,14,62,33132,159,6,8,3,2017
Certificate Of Use,Unknown,Miami,FL,33127,2017-06-08,,2017-06-08,2017-06-08,2017-06-08,2017-06-12,2017-06-13,2017-06-13,2017-06-19,0,0,0,4,1,0,6,11,33127,5 days 00:00:00.000000000,5,413,33127,159,6,8,3,2017
Certificate Of Use,General Commercial,Miami,FL,33135,2017-06-08,,2017-06-08,2017-06-08,2017-06-14,2017-11-21,2017-12-29,2018-01-02,2018-01-12,0,0,6,160,38,4,10,218,33135,208 days 00:00:00.000000000,208,62,33135,159,6,8,3,2017
Certificate Of Use,Office,Miami,FL,33132,2017-06-08,2017-06-08,2017-06-09,2017-06-09,2017-06-12,2017-06-15,2017-06-15,2017-06-19,2017-07-25,1,0,3,3,0,4,36,47,33132,11 days 00:00:00.000000000,11,62,33132,159,6,8,3,2017
Certificate Of Use,General Commercial,Miami,FL,33138,2017-06-08,,2017-06-08,2017-06-08,2017-06-09,2017-06-12,2017-06-20,2017-06-22,2017-07-25,0,0,1,3,8,2,33,47,33138,14 days 00:00:00.000000000,14,62,33138,159,6,8,3,2017
Accessory Of Use,Home Office,Miami,FL,33145,2017-06-08,2017-06-08,2017-06-08,2017-06-08,2017-06-14,2017-06-14,2017-06-14,2017-06-15,2017-06-19,0,0,6,0,0,1,4,11,33145,7 days 00:00:00.000000000,7,28,33145,159,6,8,3,2017
Certificate Of Use,Food Service Establishment,Miami,FL,33142,2017-06-08,2017-06-08,2017-06-08,2017-06-08,2017-06-14,2017-06-28,2017-06-28,2017-06-28,2017-07-25,0,0,6,14,0,0,27,47,33142,20 days 00:00:00.000000000,20,105,33142,159,6,8,3,2017
Certificate Of Use,General Commercial,Miami,FL,33127,2017-06-09,,2017-06-09,2017-06-09,2017-06-10,2017-06-13,2017-06-26,2018-10-26,2018-11-07,0,0,1,3,13,487,12,516,33127,504 days 00:00:00.000000000,504,62,33127,160,6,9,4,2017
Certificate Of Use,General Commercial,Miami,FL,33133,2017-06-08,,2017-06-08,2017-06-08,2017-06-09,2017-06-12,2017-06-12,2017-06-12,2017-06-19,0,0,1,3,0,0,7,11,33133,4 days 00:00:00.000000000,4,62,33133,159,6,8,3,2017
Certificate Of Use,General Commercial,Miami,FL,33126,2017-06-09,2017-06-09,2017-06-09,2017-06-09,2017-06-12,2017-06-21,2017-06-22,2017-06-27,2017-07-25,0,0,3,9,1,5,28,46,33126,18 days 00:00:00.000000000,18,62,33126,160,6,9,4,2017
Certificate Of Use,Multi Family Housing,Miami,FL,33135,2017-06-09,,2017-06-09,2017-06-09,2017-06-17,2017-06-30,2017-06-30,2017-07-05,2017-07-25,0,0,8,13,0,5,20,46,33135,26 days 00:00:00.000000000,26,156,33135,160,6,9,4,2017
Certificate Of Use,General Commercial,Miami,FL,33138,2017-06-09,,2017-06-09,2017-06-09,2017-06-10,2017-06-23,2017-06-23,2017-06-26,2017-07-25,0,0,1,13,0,3,29,46,33138,17 days 00:00:00.000000000,17,62,33138,160,6,9,4,2017
Certificate Of Use,Multi Family Housing,Miami,FL,33125,2017-06-09,,2017-06-09,2017-06-09,2017-06-10,2017-06-21,2017-06-30,2017-06-30,2017-07-25,0,0,1,11,9,0,25,46,33125,21 days 00:00:00.000000000,21,156,33125,160,6,9,4,2017
Certificate Of Use,Office,Miami,FL,33130,2017-06-09,2017-06-09,2017-06-09,2017-06-09,2017-06-10,2017-06-12,2017-06-23,2017-06-26,2017-07-25,0,0,1,2,11,3,29,46,33130,17 days 00:00:00.000000000,17,62,33130,160,6,9,4,2017
Certificate Of Use,Office,Miami,FL,33133,2017-06-09,,2017-06-09,2017-06-09,2017-06-10,2017-06-12,2017-06-28,2017-07-05,2017-07-25,0,0,1,2,16,7,20,46,33133,26 days 00:00:00.000000000,26,62,33133,160,6,9,4,2017
Certificate Of Use,Manufacturing And Processing,Miami,FL,33142,2017-06-09,,2017-06-09,2017-06-09,2017-10-30,2017-07-13,2017-07-13,2017-07-13,2017-07-25,0,0,143,-109,0,0,12,46,33142,34 days 00:00:00.000000000,34,62,33142,160,6,9,4,2017
Certificate Of Use,Office,Miami,FL,33125,2017-06-09,2017-06-09,2017-06-09,2017-06-09,2017-06-14,2017-06-23,2017-06-27,2017-06-28,2017-07-25,0,0,5,9,4,1,27,46,33125,19 days 00:00:00.000000000,19,62,33125,160,6,9,4,2017
Certificate Of Use,Office,Miami,FL,33129,2017-06-09,2017-06-09,2017-06-09,2017-06-09,2017-06-13,2018-01-31,2018-01-31,2018-03-20,2018-03-23,0,0,4,232,0,48,3,287,33129,284 days 00:00:00.000000000,284,62,33129,160,6,9,4,2017
Certificate Of Use,Office,Miami,FL,33132,2017-06-12,2017-06-12,2017-06-13,2017-06-13,2017-06-14,2017-06-21,2017-06-21,2017-06-21,2017-07-25,1,0,1,7,0,0,34,43,33132,9 days 00:00:00.000000000,9,62,33132,163,6,12,0,2017
Certificate Of Use,General Commercial,Miami,FL,33130,2017-06-12,,2017-06-12,2017-06-12,2017-06-22,2017-07-12,2017-08-15,2017-08-15,2017-08-24,0,0,10,20,34,0,9,73,33130,64 days 00:00:00.000000000,64,62,33130,163,6,12,0,2017
Certificate Of Use,Multi Family Housing,Miami,FL,33138,2017-06-13,,2017-06-13,2017-06-13,2017-06-14,2017-06-16,2017-07-11,2017-07-26,2017-08-10,0,0,1,2,25,15,15,58,33138,43 days 00:00:00.000000000,43,156,33138,164,6,13,1,2017
Certificate Of Use,Unknown,MIAMI,FL,331251621,2013-08-20,,,,2018-07-10,,,2018-07-23,2018-07-27,,,,,,,4,1802,33125,1798 days 00:00:00.000000000,1798,413,33125,232,8,20,1,2013
Certificate Of Use,Unknown,COCONUT GROVE,FL,331334105,2013-08-20,,,,2016-10-01,,,2018-11-20,2018-12-05,,,,,,,15,1933,33133,1918 days 00:00:00.000000000,1918,413,33133,232,8,20,1,2013
Certificate Of Use,Unknown,MIAMI,FL,331363913,2013-08-20,,,,2019-08-07,,,2019-08-21,2019-08-29,,,,,,,8,2200,33136,2192 days 00:00:00.000000000,2192,413,33136,232,8,20,1,2013
Certificate Of Use,Office,Miami,FL,33131,2018-01-30,,2018-01-30,2018-01-30,2018-01-31,2018-02-01,2018-02-12,2018-02-12,2018-02-16,0,0,1,1,11,0,4,17,33131,13 days 00:00:00.000000000,13,62,33131,30,1,30,1,2018
Accessory Of Use,Home Office,Miami,FL,33126,2018-01-30,2018-01-30,2018-01-30,2018-01-30,2018-01-31,2018-02-07,2018-02-07,2018-02-07,2018-02-16,0,0,1,7,0,0,9,17,33126,8 days 00:00:00.000000000,8,28,33126,30,1,30,1,2018
Certificate Of Use,Office,Miami,FL,33125,2018-01-30,,2018-01-30,2018-01-30,2018-01-31,2018-02-01,2018-02-13,2018-02-14,2018-02-16,0,0,1,1,12,1,2,17,33125,15 days 00:00:00.000000000,15,62,33125,30,1,30,1,2018
Certificate Of Use,General Commercial,Miami,FL,33150,2018-01-30,2018-01-30,2018-01-30,2018-01-30,2018-02-09,2018-03-07,2018-03-12,2018-03-12,2018-03-23,0,0,10,26,5,0,11,52,33150,41 days 00:00:00.000000000,41,62,33150,30,1,30,1,2018
Certificate Of Use,Office,Miami,FL,33125,2018-01-30,,2018-01-30,2018-01-30,2018-02-02,2018-02-05,2018-02-08,2018-03-20,2018-03-23,0,0,3,3,3,40,3,52,33125,49 days 00:00:00.000000000,49,62,33125,30,1,30,1,2018
Certificate Of Use,Office,Miami,FL,33130,2018-01-30,,2018-01-30,2018-01-30,2018-03-06,2018-03-07,2018-04-26,2018-04-26,2018-05-14,0,0,35,1,50,0,18,104,33130,86 days 00:00:00.000000000,86,62,33130,30,1,30,1,2018
Certificate Of Use,Office,Miami,FL,33145,2018-01-30,2018-01-30,2018-01-30,2018-01-30,2018-01-31,2018-01-31,2018-02-13,2018-03-05,2018-03-09,0,0,1,0,13,20,4,38,33145,34 days 00:00:00.000000000,34,62,33145,30,1,30,1,2018
Certificate Of Use,Unknown,Miami,FL,33150,2018-01-30,,2018-01-30,2018-01-30,2018-01-31,2018-04-18,2018-05-22,2018-05-22,2018-05-25,0,0,1,77,34,0,3,115,33150,112 days 00:00:00.000000000,112,413,33150,30,1,30,1,2018
Certificate Of Use,Office,Miami,FL,33145,2018-01-30,2018-01-30,2018-01-31,2018-01-31,2018-02-01,2018-02-06,2018-02-06,2018-02-06,2018-02-16,1,0,1,5,0,0,10,17,33145,7 days 00:00:00.000000000,7,62,33145,30,1,30,1,2018
Accessory Of Use,Home Office,Miami,FL,33133,2018-01-31,2018-01-31,2018-01-31,2018-01-31,2018-02-01,2018-02-01,2018-02-01,2018-02-02,2018-02-16,0,0,1,0,0,1,14,16,33133,2 days 00:00:00.000000000,2,28,33133,31,1,31,2,2018
